panel,outcome,lag,entities,obs_used,clustered_SEs,coef_Employees,p_Employees,coef_Debt,p_Debt,note
Full sample,ROA,0,267,1903,entity+year,8.9452113926952e-06,0.34571960406569646,-4.203211905728426e-11,0.03972462992646042,
Full sample,NIAT,0,267,1903,entity+year,5336.58169541065,0.5741342046315094,-0.14891152577609154,0.010281700608051558,
Full sample,ROA,1,265,1862,entity+year,5.253320370937655e-06,0.4565271660201513,-5.972498739167548e-11,0.017120801676569597,
Full sample,NIAT,1,265,1862,entity+year,653.6569531629718,0.9120098925174902,-0.12826259199921186,0.02734673745871441,
Full sample,ROA,2,255,1638,entity+year,2.1696964450538818e-06,0.766118706291306,-6.873847689894236e-11,0.014602006408119372,
Full sample,NIAT,2,255,1638,entity+year,72.90221809920621,0.9914801703570255,-0.1442033034299719,0.006645509100092983,
