panel,outcome,lag,entities,obs_used,clustered_SEs,coef_Employees,p_Employees,coef_Debt,p_Debt,note
Hotels only,ROA,0,40,303,entity+year,-8.296560690231136e-07,0.9723214043598336,-2.870163235002315e-11,0.008021293596275125,
Hotels only,NIAT,0,40,303,entity+year,13802.98625938515,0.4450180664578389,-0.08920530764582896,0.00016179198854904264,
Hotels only,ROA,1,40,294,entity+year,1.3378312226671265e-05,0.6152782175841773,-2.3893799288220916e-11,0.03557217146527103,
Hotels only,NIAT,1,40,294,entity+year,7332.223093952579,0.5833215435992956,-0.09655556837376038,2.142286914352809e-05,
Hotels only,ROA,2,38,256,entity+year,8.457238542660619e-07,0.9776451953606677,-3.1696116748380775e-11,0.001238642985097238,
Hotels only,NIAT,2,38,256,entity+year,5339.280512023452,0.616231926978291,-0.11990394557520566,0.0005525132239814212,
